,time,ctwl/nm
722,2022-07-12 12:31:57,1536.896
723,2022-07-12 12:33:26,1536.9
724,2022-07-12 12:34:56,1536.892
725,2022-07-12 12:36:25,1536.892
726,2022-07-12 12:37:55,1536.888
727,2022-07-12 12:39:24,1536.884
728,2022-07-12 12:40:54,1536.884
729,2022-07-12 12:42:23,1536.876
730,2022-07-12 12:43:53,1536.876
731,2022-07-12 12:45:22,1536.876
732,2022-07-12 12:46:52,1536.872
733,2022-07-12 12:48:22,1536.868
734,2022-07-12 12:49:51,1536.868
735,2022-07-12 12:51:21,1536.84
736,2022-07-12 12:52:50,1536.836
737,2022-07-12 12:54:20,1536.832
738,2022-07-12 12:55:49,1536.832
739,2022-07-12 12:57:19,1536.828
740,2022-07-12 12:58:48,1536.824
741,2022-07-12 13:00:18,1536.824
742,2022-07-12 13:01:47,1536.82
743,2022-07-12 13:03:17,1536.816
744,2022-07-12 13:04:47,1536.812
745,2022-07-12 13:06:16,1536.812
746,2022-07-12 13:07:56,1536.812
747,2022-07-12 13:09:26,1536.808
748,2022-07-12 13:11:03,1536.804
749,2022-07-12 13:12:33,1536.8
750,2022-07-12 13:14:02,1536.8
751,2022-07-12 13:15:32,1536.792
752,2022-07-12 13:17:01,1536.792
753,2022-07-12 13:18:31,1536.792
754,2022-07-12 13:20:00,1536.788
755,2022-07-12 13:21:30,1536.788
756,2022-07-12 13:22:59,1536.788
757,2022-07-12 13:24:29,1536.78
758,2022-07-12 13:25:58,1536.776
759,2022-07-12 13:27:28,1536.78
760,2022-07-12 13:28:58,1536.776
761,2022-07-12 13:30:27,1536.776
762,2022-07-12 13:31:57,1536.768
763,2022-07-12 13:33:26,1536.768
764,2022-07-12 13:34:56,1536.772
765,2022-07-12 13:36:25,1536.768
766,2022-07-12 13:37:55,1536.764
767,2022-07-12 13:39:25,1536.768
768,2022-07-12 13:40:54,1536.764
769,2022-07-12 13:42:24,1536.76
770,2022-07-12 13:43:53,1536.76
771,2022-07-12 13:45:23,1536.756
772,2022-07-12 13:46:52,1536.756
773,2022-07-12 13:48:22,1536.748
774,2022-07-12 13:49:52,1536.748
775,2022-07-12 13:51:21,1536.748
776,2022-07-12 13:52:51,1536.744
777,2022-07-12 13:54:20,1536.732
778,2022-07-12 13:55:50,1536.74
779,2022-07-12 13:57:19,1536.736
780,2022-07-12 13:58:49,1536.74
781,2022-07-12 14:00:19,1536.728
782,2022-07-12 14:01:48,1536.732
783,2022-07-12 14:03:18,1536.728
784,2022-07-12 14:04:47,1536.728
785,2022-07-12 14:06:17,1536.732
786,2022-07-12 14:07:46,1536.724
787,2022-07-12 14:09:16,1536.72
788,2022-07-12 14:10:46,1536.72
789,2022-07-12 14:12:15,1536.72
790,2022-07-12 14:13:45,1536.716
791,2022-07-12 14:15:14,1536.716
792,2022-07-12 14:16:44,1536.712
793,2022-07-12 14:18:13,1536.704
794,2022-07-12 14:19:43,1536.696
795,2022-07-12 14:21:13,1536.704
796,2022-07-12 14:22:42,1536.708
797,2022-07-12 14:24:12,1536.708
798,2022-07-12 14:25:42,1536.704
799,2022-07-12 14:27:11,1536.7
800,2022-07-12 14:28:41,1536.708
801,2022-07-12 14:30:10,1536.708
802,2022-07-12 14:31:40,1536.704
803,2022-07-12 14:33:10,1536.7
804,2022-07-12 14:34:39,1536.696
805,2022-07-12 14:36:09,1536.692
806,2022-07-12 14:37:39,1536.688
807,2022-07-12 14:39:08,1536.688
808,2022-07-12 14:40:38,1536.684
809,2022-07-12 14:42:08,1536.684
810,2022-07-12 14:43:37,1536.684
811,2022-07-12 14:45:07,1536.68
812,2022-07-12 14:46:36,1536.68
813,2022-07-12 14:48:06,1536.676
814,2022-07-12 14:49:35,1536.672
815,2022-07-12 14:51:05,1536.672
816,2022-07-12 14:52:35,1536.672
817,2022-07-12 14:54:04,1536.668
818,2022-07-12 14:55:34,1536.664
819,2022-07-12 14:57:04,1536.664
820,2022-07-12 14:58:33,1536.66
821,2022-07-12 15:00:03,1536.66
822,2022-07-12 15:01:33,1536.656
823,2022-07-12 15:03:02,1536.656
824,2022-07-12 15:04:32,1536.656
825,2022-07-12 15:06:01,1536.652
826,2022-07-12 15:07:31,1536.652
827,2022-07-12 15:09:01,1536.648
828,2022-07-12 15:10:30,1536.644
829,2022-07-12 15:12:00,1536.644
830,2022-07-12 15:13:30,1536.644
831,2022-07-12 15:14:59,1536.644
832,2022-07-12 15:16:29,1536.64
833,2022-07-12 15:17:58,1536.636
834,2022-07-12 15:19:28,1536.636
835,2022-07-12 15:20:58,1536.636
836,2022-07-12 15:22:27,1536.632
837,2022-07-12 15:23:57,1536.632
838,2022-07-12 15:25:27,1536.628
839,2022-07-12 15:26:56,1536.628
840,2022-07-12 15:28:26,1536.628
841,2022-07-12 15:29:56,1536.624
842,2022-07-12 15:31:25,1536.624
843,2022-07-12 15:32:55,1536.62
844,2022-07-12 15:34:25,1536.62
845,2022-07-12 15:35:54,1536.62
846,2022-07-12 15:37:24,1536.616
847,2022-07-12 15:38:54,1536.616
848,2022-07-12 15:40:23,1536.616
849,2022-07-12 15:41:53,1536.612
850,2022-07-12 15:43:23,1536.608
851,2022-07-12 15:44:52,1536.608
852,2022-07-12 15:46:22,1536.608
853,2022-07-12 15:47:52,1536.604
854,2022-07-12 15:49:21,1536.604
855,2022-07-12 15:50:51,1536.604
856,2022-07-12 15:52:21,1536.604
857,2022-07-12 15:53:50,1536.6
858,2022-07-12 15:55:20,1536.596
859,2022-07-12 15:56:50,1536.596
860,2022-07-12 15:58:20,1536.596
861,2022-07-12 15:59:49,1536.592
862,2022-07-12 16:01:19,1536.592
863,2022-07-12 16:02:49,1536.588
864,2022-07-12 16:04:18,1536.592
865,2022-07-12 16:05:48,1536.588
866,2022-07-12 16:07:18,1536.588
867,2022-07-12 16:08:47,1536.596
868,2022-07-12 16:10:17,1536.592
869,2022-07-12 16:11:47,1536.592
870,2022-07-12 16:13:16,1536.492
871,2022-07-12 16:14:46,1536.516
872,2022-07-12 16:16:16,1536.516
873,2022-07-12 16:17:45,1536.508
874,2022-07-12 16:19:15,1536.508
875,2022-07-12 16:20:45,1536.508
876,2022-07-12 16:22:14,1536.5
877,2022-07-12 16:23:44,1536.492
878,2022-07-12 16:25:14,1536.492
879,2022-07-12 16:26:44,1536.488
880,2022-07-12 16:28:13,1536.488
881,2022-07-12 16:29:43,1536.484
882,2022-07-12 16:31:12,1536.484
883,2022-07-12 16:32:42,1536.484
884,2022-07-12 16:34:12,1536.476
885,2022-07-12 16:35:41,1536.476
886,2022-07-12 16:37:11,1536.472
887,2022-07-12 16:38:41,1536.468
888,2022-07-12 16:40:12,1536.472
889,2022-07-12 16:41:42,1536.464
890,2022-07-12 16:43:12,1536.468
891,2022-07-12 16:44:41,1536.464
892,2022-07-12 16:46:19,1536.464
893,2022-07-12 16:47:49,1536.46
894,2022-07-12 16:49:18,1536.464
895,2022-07-12 16:50:48,1536.46
896,2022-07-12 16:52:18,1536.456
897,2022-07-12 16:53:47,1536.456
898,2022-07-12 16:55:17,1536.456
899,2022-07-12 16:56:47,1536.452
900,2022-07-12 16:58:16,1536.452
901,2022-07-12 16:59:46,1536.452
902,2022-07-12 17:01:16,1536.448
903,2022-07-12 17:02:45,1536.452
904,2022-07-12 17:04:15,1536.444
905,2022-07-12 17:05:45,1536.448
906,2022-07-12 17:07:15,1536.444
907,2022-07-12 17:08:44,1536.444
908,2022-07-12 17:10:14,1536.444
909,2022-07-12 17:11:44,1536.436
910,2022-07-12 17:13:13,1536.44
911,2022-07-12 17:14:43,1536.44
912,2022-07-12 17:16:13,1536.436
913,2022-07-12 17:17:43,1536.436
914,2022-07-12 17:19:12,1536.436
915,2022-07-12 17:20:42,1536.432
916,2022-07-12 17:22:12,1536.436
917,2022-07-12 17:23:41,1536.432
918,2022-07-12 17:25:11,1536.428
919,2022-07-12 17:26:41,1536.432
920,2022-07-12 17:28:11,1536.424
921,2022-07-12 17:29:40,1536.428
922,2022-07-12 17:31:10,1536.428
923,2022-07-12 17:32:40,1536.424
924,2022-07-12 17:34:09,1536.424
925,2022-07-12 17:35:39,1536.42
926,2022-07-12 17:37:09,1536.42
927,2022-07-12 17:38:39,1536.42
928,2022-07-12 17:40:08,1536.416
929,2022-07-12 17:41:38,1536.42
930,2022-07-12 17:43:08,1536.42
931,2022-07-12 17:44:37,1536.416
932,2022-07-12 17:46:07,1536.424
933,2022-07-12 17:47:37,1536.444
934,2022-07-12 17:49:07,1536.444
935,2022-07-12 17:50:36,1536.444
936,2022-07-12 17:52:06,1536.436
937,2022-07-12 17:53:36,1536.44
938,2022-07-12 17:55:05,1536.44
939,2022-07-12 17:56:35,1536.436
940,2022-07-12 17:58:05,1536.44
941,2022-07-12 17:59:35,1536.436
942,2022-07-12 18:01:04,1536.436
943,2022-07-12 18:02:34,1536.436
944,2022-07-12 18:04:04,1536.432
945,2022-07-12 18:05:34,1536.436
946,2022-07-12 18:07:03,1536.432
947,2022-07-12 18:08:33,1536.428
948,2022-07-12 18:10:03,1536.432
949,2022-07-12 18:11:33,1536.432
950,2022-07-12 18:13:02,1536.432
951,2022-07-12 18:14:32,1536.432
952,2022-07-12 18:16:02,1536.428
953,2022-07-12 18:17:31,1536.428
954,2022-07-12 18:19:01,1536.428
955,2022-07-12 18:20:31,1536.424
956,2022-07-12 18:22:01,1536.424
957,2022-07-12 18:23:31,1536.42
958,2022-07-12 18:25:00,1536.428
959,2022-07-12 18:26:30,1536.42
960,2022-07-12 18:28:00,1536.42
961,2022-07-12 18:29:30,1536.424
962,2022-07-12 18:31:00,1536.42
963,2022-07-12 18:32:30,1536.42
964,2022-07-12 18:33:59,1536.42
965,2022-07-12 18:35:29,1536.416
966,2022-07-12 18:36:59,1536.416
967,2022-07-12 18:38:29,1536.42
968,2022-07-12 18:40:07,1536.416
969,2022-07-12 18:41:37,1536.416
970,2022-07-12 18:43:07,1536.416
971,2022-07-12 18:44:36,1536.416
972,2022-07-12 18:46:06,1536.416
973,2022-07-12 18:47:36,1536.412
974,2022-07-12 18:49:05,1536.412
975,2022-07-12 18:50:35,1536.408
976,2022-07-12 18:52:05,1536.412
977,2022-07-12 18:53:35,1536.408
978,2022-07-12 18:55:04,1536.408
979,2022-07-12 18:56:34,1536.412
980,2022-07-12 18:58:04,1536.408
981,2022-07-12 18:59:34,1536.408
982,2022-07-12 19:01:04,1536.408
983,2022-07-12 19:02:33,1536.404
984,2022-07-12 19:04:03,1536.412
985,2022-07-12 19:05:33,1536.408
986,2022-07-12 19:07:02,1536.408
987,2022-07-12 19:08:32,1536.408
988,2022-07-12 19:10:11,1536.408
989,2022-07-12 19:11:41,1536.408
990,2022-07-12 19:13:11,1536.404
991,2022-07-12 19:14:40,1536.408
992,2022-07-12 19:16:10,1536.404
993,2022-07-12 19:17:40,1536.404
994,2022-07-12 19:19:10,1536.408
995,2022-07-12 19:20:39,1536.404
996,2022-07-12 19:22:09,1536.404
997,2022-07-12 19:23:39,1536.4
998,2022-07-12 19:25:09,1536.4
999,2022-07-12 19:26:38,1536.4
1000,2022-07-12 19:28:08,1536.4
1001,2022-07-12 19:29:38,1536.4
1002,2022-07-12 19:31:08,1536.4
1003,2022-07-12 19:32:38,1536.396
1004,2022-07-12 19:34:08,1536.396
1005,2022-07-12 19:35:38,1536.396
1006,2022-07-12 19:37:07,1536.396
1007,2022-07-12 19:38:37,1536.396
1008,2022-07-12 19:40:16,1536.392
1009,2022-07-12 19:41:45,1536.396
1010,2022-07-12 19:43:15,1536.388
1011,2022-07-12 19:44:45,1536.392
1012,2022-07-12 19:46:15,1536.392
1013,2022-07-12 19:47:45,1536.388
1014,2022-07-12 19:49:15,1536.392
1015,2022-07-12 19:50:44,1536.388
1016,2022-07-12 19:52:14,1536.388
1017,2022-07-12 19:53:44,1536.388
1018,2022-07-12 19:55:14,1536.384
1019,2022-07-12 19:56:44,1536.384
1020,2022-07-12 19:58:13,1536.384
1021,2022-07-12 19:59:43,1536.38
1022,2022-07-12 20:01:13,1536.38
1023,2022-07-12 20:02:43,1536.38
1024,2022-07-12 20:04:13,1536.38
1025,2022-07-12 20:05:43,1536.376
1026,2022-07-12 20:07:12,1536.376
1027,2022-07-12 20:08:42,1536.38
1028,2022-07-12 20:10:21,1536.376
1029,2022-07-12 20:11:51,1536.372
1030,2022-07-12 20:13:20,1536.372
1031,2022-07-12 20:14:50,1536.376
1032,2022-07-12 20:16:20,1536.372
1033,2022-07-12 20:17:50,1536.372
1034,2022-07-12 20:19:20,1536.372
1035,2022-07-12 20:20:50,1536.372
1036,2022-07-12 20:22:19,1536.372
1037,2022-07-12 20:23:49,1536.368
1038,2022-07-12 20:25:19,1536.368
1039,2022-07-12 20:26:49,1536.372
1040,2022-07-12 20:28:19,1536.368
1041,2022-07-12 20:29:49,1536.368
1042,2022-07-12 20:31:19,1536.372
1043,2022-07-12 20:32:49,1536.368
1044,2022-07-12 20:34:19,1536.368
1045,2022-07-12 20:35:48,1536.368
1046,2022-07-12 20:37:18,1536.368
1047,2022-07-12 20:38:48,1536.368
1048,2022-07-12 20:40:26,1536.368
1049,2022-07-12 20:41:56,1536.364
1050,2022-07-12 20:43:26,1536.368
1051,2022-07-12 20:44:56,1536.368
1052,2022-07-12 20:46:26,1536.364
1053,2022-07-12 20:47:55,1536.364
1054,2022-07-12 20:49:25,1536.368
1055,2022-07-12 20:50:55,1536.364
1056,2022-07-12 20:52:25,1536.364
1057,2022-07-12 20:53:55,1536.364
1058,2022-07-12 20:55:25,1536.364
1059,2022-07-12 20:56:55,1536.364
1060,2022-07-12 20:58:24,1536.364
1061,2022-07-12 20:59:54,1536.364
1062,2022-07-12 21:01:24,1536.364
1063,2022-07-12 21:02:54,1536.364
1064,2022-07-12 21:04:24,1536.364
1065,2022-07-12 21:05:54,1536.364
1066,2022-07-12 21:07:24,1536.364
1067,2022-07-12 21:08:54,1536.364
