,time,ctwl/nm,notch/dB,reflection/%,t-depth/dB,n_ac
152,2022-07-11 22:16:06,1547.787,,29.97,1.5470,1.358273E-7
153,2022-07-11 22:17:35,1547.7909,,33.47,1.7700,1.358276E-7
154,2022-07-11 22:19:04,1547.7904,,33.59,1.7775,1.358276E-7
155,2022-07-11 22:20:32,1547.7916,,33.60,1.7780,1.358277E-7
156,2022-07-11 22:22:01,1547.795,,28.29,1.4445,1.358280E-7
157,2022-07-11 22:23:30,1547.7953,,33.74,1.7875,1.358280E-7
158,2022-07-11 22:24:59,1547.7989,,33.79,1.7905,1.358283E-7
159,2022-07-11 22:26:28,1547.8005,,26.56,1.3405,1.358285E-7
160,2022-07-11 22:27:57,1547.8001,,33.98,1.8035,1.358284E-7
161,2022-07-11 22:29:25,1547.8016,,34.03,1.8065,1.358286E-7
162,2022-07-11 22:30:54,1547.8058,,34.01,1.8050,1.358289E-7
163,2022-07-11 22:32:23,1547.8046,,29.56,1.5220,1.358288E-7
164,2022-07-11 22:33:52,1547.8062,,34.19,1.8170,1.358290E-7
165,2022-07-11 22:35:20,1547.8105,,18.89,0.9095,1.358293E-7
166,2022-07-11 22:36:49,1547.8073,,32.73,1.7215,1.358291E-7
167,2022-07-11 22:38:18,1547.8112,,30.72,1.5940,1.358294E-7
168,2022-07-11 22:39:47,1547.8123,,33.34,1.7615,1.358295E-7
169,2022-07-11 22:41:16,1547.8116,,31.21,1.6245,1.358294E-7
170,2022-07-11 22:42:44,1547.8133,,34.08,1.8100,1.358296E-7
171,2022-07-11 22:44:13,1547.8152,,34.43,1.8330,1.358298E-7
172,2022-07-11 22:45:42,1547.8145,,34.46,1.8350,1.358297E-7
173,2022-07-11 22:47:11,1547.8191,,28.67,1.4670,1.358301E-7
174,2022-07-11 22:48:40,1547.8235,,34.36,1.8285,1.358305E-7
175,2022-07-11 22:50:08,1547.8169,,34.56,1.8415,1.358299E-7
176,2022-07-11 22:51:37,1547.8234,,28.98,1.4860,1.358305E-7
177,2022-07-11 22:53:06,1547.8254,,34.45,1.8345,1.358306E-7
178,2022-07-11 22:54:35,1547.8235,,32.83,1.7280,1.358305E-7
179,2022-07-11 22:56:04,1547.8253,,34.56,1.8415,1.358306E-7
180,2022-07-11 22:57:33,1547.8413,,32.39,1.7000,1.358320E-7
181,2022-07-11 22:59:01,1547.8262,,34.55,1.8410,1.358307E-7
182,2022-07-11 23:00:30,1547.8414,,31.15,1.6210,1.358321E-7
183,2022-07-11 23:01:59,1547.8532,,34.58,1.8430,1.358331E-7
184,2022-07-11 23:03:28,1547.844,,34.58,1.8430,1.358323E-7
185,2022-07-11 23:04:56,1547.85,,34.69,1.8500,1.358328E-7
186,2022-07-11 23:06:25,1547.858,,34.62,1.8455,1.358335E-7
187,2022-07-11 23:07:54,1547.8567,,34.56,1.8415,1.358334E-7
188,2022-07-11 23:09:23,1547.858,,34.68,1.8495,1.358335E-7
189,2022-07-11 23:10:52,1547.8587,,34.42,1.8320,1.358336E-7
190,2022-07-11 23:12:20,1547.8588,,34.67,1.8490,1.358336E-7
191,2022-07-11 23:13:49,1547.8618,,33.60,1.7785,1.358338E-7
192,2022-07-11 23:15:18,1547.8725,,33.50,1.7715,1.358348E-7
193,2022-07-11 23:16:47,1547.8652,,34.58,1.8430,1.358341E-7
194,2022-07-11 23:18:16,1547.8727,,34.66,1.8480,1.358348E-7
195,2022-07-11 23:19:45,1547.8765,,34.69,1.8500,1.358351E-7
196,2022-07-11 23:21:13,1547.8743,,28.07,1.4310,1.358349E-7
197,2022-07-11 23:22:42,1547.8825,,32.51,1.7075,1.358357E-7
198,2022-07-11 23:24:11,1547.8829,,34.26,1.8215,1.358357E-7
199,2022-07-11 23:25:40,1547.8829,,34.69,1.8500,1.358357E-7
200,2022-07-11 23:27:09,1547.8835,,34.69,1.8505,1.358357E-7
201,2022-07-11 23:28:38,1547.8857,,34.75,1.8540,1.358359E-7
202,2022-07-11 23:30:06,1547.8854,,19.32,0.9325,1.358359E-7
203,2022-07-11 23:31:35,1547.8855,,34.56,1.8415,1.358359E-7
204,2022-07-11 23:33:04,1547.887,,34.68,1.8495,1.358361E-7
205,2022-07-11 23:34:33,1547.8864,,34.67,1.8490,1.358360E-7
206,2022-07-11 23:36:02,1547.8871,,34.27,1.8225,1.358361E-7
207,2022-07-11 23:37:30,1547.8914,,23.16,1.1440,1.358364E-7
208,2022-07-11 23:38:59,1547.8906,,34.54,1.8400,1.358364E-7
209,2022-07-11 23:40:28,1547.8923,,34.68,1.8495,1.358365E-7
210,2022-07-11 23:41:57,1547.895,,34.77,1.8555,1.358368E-7
211,2022-07-11 23:43:26,1547.8918,,34.60,1.8445,1.358365E-7
212,2022-07-11 23:44:55,1547.8961,,34.67,1.8490,1.358369E-7
213,2022-07-11 23:46:23,1547.8966,,25.46,1.2760,1.358369E-7
214,2022-07-11 23:47:52,1547.8963,,25.37,1.2710,1.358369E-7
215,2022-07-11 23:49:21,1547.8974,,25.79,1.2955,1.358370E-7
216,2022-07-11 23:50:50,1547.8983,,34.52,1.8390,1.358370E-7
217,2022-07-11 23:52:19,1547.8983,,30.90,1.6050,1.358370E-7
218,2022-07-11 23:53:48,1547.8986,,34.57,1.8425,1.358371E-7
219,2022-07-11 23:55:17,1547.902,,27.99,1.4260,1.358374E-7
220,2022-07-11 23:56:45,1547.9014,,34.51,1.8385,1.358373E-7
221,2022-07-11 23:58:14,1547.902,,32.20,1.6875,1.358374E-7
222,2022-07-11 23:59:43,1547.9059,,34.42,1.8325,1.358377E-7
223,2022-07-12 00:01:12,1547.9047,,33.07,1.7435,1.358376E-7
224,2022-07-12 00:02:41,1547.9059,,34.33,1.8265,1.358377E-7
225,2022-07-12 00:04:10,1547.9101,,34.29,1.8240,1.358381E-7
226,2022-07-12 00:05:38,1547.9096,,34.37,1.8290,1.358380E-7
227,2022-07-12 00:07:07,1547.9098,,34.17,1.8155,1.358381E-7
228,2022-07-12 00:08:36,1547.9114,,34.17,1.8155,1.358382E-7
229,2022-07-12 00:10:05,1547.9112,,34.21,1.8185,1.358382E-7
230,2022-07-12 00:11:34,1547.9143,,33.33,1.7605,1.358384E-7
231,2022-07-12 00:13:03,1547.9161,,20.52,0.9975,1.358386E-7
232,2022-07-12 00:14:32,1547.9143,,34.12,1.8125,1.358384E-7
233,2022-07-12 00:16:00,1547.9148,,34.12,1.8125,1.358385E-7
