,time,ctwl/nm,transmissionDepth/dB,reflection/%,n_ac,n_dc
178,2022/7/11 22:54,1547.826,1.742,33.0424,0.000135831,-1.53E-06
179,2022/7/11 22:56,1547.8271,1.8505,34.6945,0.000135831,1.29E-06
180,2022/7/11 22:57,1547.8302,1.0335,21.1775,0.000135831,3.65E-06
181,2022/7/11 22:59,1547.8295,1.8335,34.4383,0.000135831,-8.23E-07
182,2022/7/11 23:00,1547.8319,1.8425,34.5741,0.000135831,2.82E-06
183,2022/7/11 23:01,1547.8376,1.8515,34.7095,0.000135832,6.70E-06
184,2022/7/11 23:03,1547.8328,1.854,34.7471,0.000135831,-5.64E-06
185,2022/7/11 23:04,1547.8361,1.872,35.017,0.000135832,3.88E-06
186,2022/7/11 23:06,1547.8461,1.8675,34.9496,0.000135832,1.18E-05
187,2022/7/11 23:07,1547.8422,1.8575,34.7996,0.000135832,-4.59E-06
188,2022/7/11 23:09,1547.8467,1.638,31.4196,0.000135833,5.29E-06
189,2022/7/11 23:10,1547.8484,1.8505,34.6945,0.000135833,2.00E-06
190,2022/7/11 23:12,1547.8492,1.8695,34.9795,0.000135833,9.41E-07
191,2022/7/11 23:13,1547.8513,1.861,34.8522,0.000135833,2.47E-06
192,2022/7/11 23:15,1547.8547,1.857,34.7921,0.000135833,4.00E-06
193,2022/7/11 23:16,1547.8545,1.841,34.5515,0.000135833,-2.35E-07
194,2022/7/11 23:18,1547.8561,1.8595,34.8297,0.000135833,1.88E-06
195,2022/7/11 23:19,1547.8602,1.1775,23.7482,0.000135834,4.82E-06
196,2022/7/11 23:21,1547.8612,1.854,34.7471,0.000135834,1.18E-06
197,2022/7/11 23:22,1547.8636,1.051,21.4945,0.000135834,2.82E-06
198,2022/7/11 23:24,1547.865,1.85,34.6869,0.000135834,1.65E-06
199,2022/7/11 23:25,1547.8648,1.8635,34.8897,0.000135834,-2.35E-07
200,2022/7/11 23:27,1547.8716,1.863,34.8822,0.000135835,8.00E-06
201,2022/7/11 23:28,1547.8777,1.801,33.9459,0.000135835,7.17E-06
202,2022/7/11 23:30,1547.8714,1.835,34.461,0.000135835,-7.41E-06
203,2022/7/11 23:31,1547.8717,1.874,35.0469,0.000135835,3.53E-07
204,2022/7/11 23:33,1547.8805,1.841,34.5515,0.000135835,1.03E-05
205,2022/7/11 23:34,1547.8796,1.2115,24.3428,0.000135835,-1.06E-06
206,2022/7/11 23:36,1547.8806,1.5395,29.8464,0.000135835,1.18E-06
207,2022/7/11 23:37,1547.8854,1.3935,27.4479,0.000135836,5.64E-06
208,2022/7/11 23:38,1547.8833,1.8505,34.6945,0.000135836,-2.47E-06
209,2022/7/11 23:40,1547.8873,1.844,34.5966,0.000135836,4.70E-06
210,2022/7/11 23:41,1547.8884,1.7905,33.786,0.000135836,1.29E-06
211,2022/7/11 23:43,1547.8867,1.8405,34.5439,0.000135836,-2.00E-06
212,2022/7/11 23:44,1547.8917,0.9305,19.2858,0.000135836,5.88E-06
213,2022/7/11 23:46,1547.8924,1.8505,34.6945,0.000135837,8.23E-07
214,2022/7/11 23:47,1547.8922,1.0995,22.3664,0.000135837,-2.35E-07
215,2022/7/11 23:49,1547.8945,1.825,34.3099,0.000135837,2.70E-06
216,2022/7/11 23:50,1547.8975,1.437,28.171,0.000135837,3.53E-06
217,2022/7/11 23:52,1547.8975,1.833,34.4308,0.000135837,0
218,2022/7/11 23:53,1547.8985,1.8495,34.6794,0.000135837,1.18E-06
219,2022/7/11 23:55,1547.9006,1.2875,25.6553,0.000135837,2.47E-06
220,2022/7/11 23:56,1547.8994,1.8245,34.3023,0.000135837,-1.41E-06
221,2022/7/11 23:58,1547.9011,1.8385,34.5138,0.000135837,2.00E-06
222,2022/7/11 23:59,1547.904,1.8295,34.3779,0.000135838,3.41E-06
223,2022/7/12 0:01,1547.9021,1.8155,34.166,0.000135837,-2.23E-06
224,2022/7/12 0:02,1547.9047,1.0935,22.259,0.000135838,3.06E-06
