,350,450,550,650,750,850
77,1543.1734,1544.6078,1546.087,1547.6075,1549.1717,1550.7817
78,1543.1711,1544.607,1546.0902,1547.6075,1549.1725,1550.7817
79,1543.175,1544.607,1546.0862,1547.6075,1549.1725,1550.7833
80,1543.1734,1544.6062,1546.087,1547.6075,1549.1717,1550.7817
81,1543.1726,1544.6062,1546.0846,1547.6083,1549.1733,1550.7825
82,1543.1695,1544.6086,1546.0854,1547.6075,1549.1733,1550.7833
83,1543.1742,1544.607,1546.0862,1547.6075,1549.1725,1550.7833
84,1543.1726,1544.6078,1546.087,1547.6067,1549.1717,1550.7833
85,1543.1726,1544.607,1546.087,1547.6067,1549.1725,1550.7817
86,1543.1711,1544.6094,1546.0878,1547.6075,1549.1733,1550.7833
87,1543.1726,1544.6046,1546.0854,1547.6075,1549.1717,1550.7817
88,1543.1718,1544.6062,1546.0862,1547.6083,1549.1733,1550.7825
89,1543.1718,1544.6086,1546.0878,1547.6067,1549.1717,1550.7825
90,1543.1726,1544.6078,1546.0878,1547.6083,1549.1733,1550.7825
91,1543.1726,1544.6086,1546.087,1547.6075,1549.1725,1550.7833
92,1543.1726,1544.607,1546.0862,1547.6075,1549.1741,1550.7833
93,1543.175,1544.6062,1546.0854,1547.6075,1549.1725,1550.7817
94,1543.1695,1544.6078,1546.0862,1547.6075,1549.1733,1550.7817
95,1543.1726,1544.6078,1546.0862,1547.6083,1549.1733,1550.7825
96,1543.1711,1544.6054,1546.0838,1547.6075,1549.1725,1550.7833
97,1543.1742,1544.6054,1546.0846,1547.6083,1549.1725,1550.7833
98,1543.1758,1544.6062,1546.0854,1547.6083,1549.1725,1550.7817
99,1543.1726,1544.6062,1546.0846,1547.6083,1549.1733,1550.7809
100,1543.1703,1544.607,1546.0846,1547.6075,1549.1733,1550.7833
101,1543.1726,1544.6062,1546.087,1547.6075,1549.1725,1550.7809
102,1543.1742,1544.6062,1546.0862,1547.6067,1549.1725,1550.7801
103,1543.1718,1544.6054,1546.0862,1547.6075,1549.1725,1550.7825
104,1543.1718,1544.6086,1546.0878,1547.6075,1549.1725,1550.7817
105,1543.1742,1544.6062,1546.087,1547.6083,1549.1733,1550.7817
106,1543.1734,1544.6062,1546.087,1547.6067,1549.1725,1550.7809
107,1543.1734,1544.6078,1546.0862,1547.6067,1549.1717,1550.7809
108,1543.1711,1544.607,1546.0878,1547.6075,1549.1725,1550.7809
109,1543.1726,1544.6062,1546.0846,1547.6075,1549.1717,1550.7825
110,1543.1718,1544.6078,1546.087,1547.6059,1549.1725,1550.7817
111,1543.175,1544.6086,1546.087,1547.6075,1549.1717,1550.7801
112,1543.1703,1544.607,1546.0878,1547.6067,1549.1725,1550.7817
113,1543.1734,1544.6062,1546.087,1547.6067,1549.1717,1550.7809
114,1543.1695,1544.6054,1546.0878,1547.6083,1549.1725,1550.7817
115,1543.1742,1544.607,1546.087,1547.6075,1549.1709,1550.7825
116,1543.1711,1544.6102,1546.0862,1547.6075,1549.1725,1550.7817
117,1543.1742,1544.6086,1546.0854,1547.6075,1549.1717,1550.7809
118,1543.1695,1544.607,1546.087,1547.6075,1549.1717,1550.7825
119,1543.1718,1544.6086,1546.0878,1547.6075,1549.1725,1550.7825
120,1543.1726,1544.6062,1546.0862,1547.6083,1549.1725,1550.7817
121,1543.1695,1544.607,1546.0862,1547.6075,1549.1725,1550.7825
122,1543.1734,1544.6086,1546.0886,1547.6083,1549.1725,1550.7809
123,1543.1711,1544.6062,1546.087,1547.6083,1549.1725,1550.7825
124,1543.1726,1544.6046,1546.087,1547.6091,1549.1733,1550.7817
125,1543.1726,1544.6062,1546.087,1547.6083,1549.1725,1550.7825
126,1543.1734,1544.6086,1546.0854,1547.6083,1549.1733,1550.7825
127,1543.1695,1544.6054,1546.0878,1547.6075,1549.1725,1550.7841
128,1543.1703,1544.6086,1546.0886,1547.6075,1549.1733,1550.7825
129,1543.1734,1544.6078,1546.0886,1547.6083,1549.1733,1550.7817
130,1543.1726,1544.6094,1546.087,1547.6067,1549.1717,1550.7833
131,1543.1711,1544.6078,1546.0878,1547.6059,1549.1717,1550.7817
132,1543.1718,1544.607,1546.0878,1547.6067,1549.1717,1550.7809
