,Unnamed: 0,time,ctwl/nm,transmissionDepth/dB,reflection/%,n_ac,n_dc
1075,1075,2022-07-12 21:11:02,1536.3582,1.7104999999999997,32.555,0.0001348243346291,1.1846195763181806e-06
1076,1076,2022-07-12 21:12:32,1536.3557,1.727000000000004,32.8107,0.0001348241152396,-2.9615537597741824e-06
1077,1077,2022-07-12 21:14:02,1536.3558,1.6870000000000012,32.189,0.0001348241240152,1.1846214265882567e-07
1078,1078,2022-07-12 21:15:32,1536.3559,1.7245000000000026,32.772,0.0001348241327908,1.1846213494823318e-07
1079,1079,2022-07-12 21:17:01,1536.356,1.1189999999999998,22.7141,0.0001348241415664,1.1846212723764169e-07
1080,1080,2022-07-12 21:18:31,1536.3559,0.8659999999999997,18.0781,0.0001348241327908,-1.1846213494823318e-07
1081,1081,2022-07-12 21:20:01,1536.3546,1.6900000000000013,32.2358,0.0001348240187082,-1.5400090579568842e-06
1082,1082,2022-07-12 21:21:30,1536.3532,1.663499999999999,31.8211,0.0001348238958501,-1.6584728041535109e-06
1083,1083,2022-07-12 21:23:00,1536.3546,1.712500000000002,32.586,0.0001348240187082,1.6584712928735463e-06
1084,1084,2022-07-12 21:24:30,1536.3523,1.6954999999999991,32.3216,0.0001348238168699,-2.724635488733195e-06
1085,1085,2022-07-12 21:26:00,1536.3532,1.7140000000000022,32.6093,0.0001348238958501,1.066161088480597e-06
1086,1086,2022-07-12 21:27:30,1536.3546,1.7005000000000017,32.3995,0.0001348240187082,1.6584712928735463e-06
1087,1087,2022-07-12 21:28:59,1536.3527,1.713000000000001,32.5938,0.0001348238519722,-2.2507852526048294e-06
1088,1088,2022-07-12 21:30:29,1536.3518,1.6995000000000005,32.3839,0.000134823772992,-1.066162060019488e-06
1089,1089,2022-07-12 21:31:59,1536.3511,1.6995000000000005,32.3839,0.000134823711563,-8.292375354046348e-07
1090,1090,2022-07-12 21:33:28,1536.3507,1.7029999999999994,32.4384,0.0001348236764606,-4.738501438708474e-07
1091,1091,2022-07-12 21:34:59,1536.3497,1.5695000000000014,30.3293,0.0001348235887049,-1.18462613033801e-06
1092,1092,2022-07-12 21:36:28,1536.3491,1.7165,32.6481,0.0001348235360514,-7.107759558942078e-07
1093,1093,2022-07-12 21:37:58,1536.3481,1.6900000000000013,32.2358,0.0001348234482956,-1.1846273640439705e-06
1094,1094,2022-07-12 21:39:28,1536.3464,1.711500000000001,32.5705,0.0001348232991107,-2.013868747341734e-06
1095,1095,2022-07-12 21:40:57,1536.3462,1.6950000000000005,32.3138,0.0001348232815596,-2.3692576576075656e-07
1096,1096,2022-07-12 21:42:27,1536.3484,1.708000000000002,32.5161,0.0001348234746223,2.606179692208078e-06
1097,1097,2022-07-12 21:43:57,1536.3458,1.7150000000000034,32.6248,0.0001348232464573,-3.080035757609797e-06
1098,1098,2022-07-12 21:45:27,1536.3457,1.6965000000000003,32.3372,0.0001348232376817,-1.184629214338376e-07
1099,1099,2022-07-12 21:46:57,1536.3469,1.669499999999999,31.9152,0.0001348233429886,1.4215539471362823e-06
1100,1100,2022-07-12 21:48:26,1536.346,1.1655000000000015,23.5372,0.0001348232640084,-1.0661660849851845e-06
1101,1101,2022-07-12 21:49:56,1536.3431,1.6785000000000032,32.0562,0.0001348230095166,-3.4354305362627483e-06
1102,1102,2022-07-12 21:51:26,1536.3434,1.722999999999999,32.7488,0.0001348230358433,3.55389296340221e-07
1103,1103,2022-07-12 21:52:55,1536.3432,1.7310000000000016,32.8726,0.0001348230182922,-2.369262284030212e-07
1104,1104,2022-07-12 21:54:25,1536.3443,0.920500000000004,19.0997,0.0001348231148236,1.3030933234895828e-06
1105,1105,2022-07-12 21:55:55,1536.3411,1.2305000000000028,24.6731,0.000134822834005,-3.7908248368669663e-06
1106,1106,2022-07-12 21:57:25,1536.3402,1.7159999999999975,32.6403,0.0001348227550248,-1.066170109981271e-06
1107,1107,2022-07-12 21:58:55,1536.3406,1.7074999999999996,32.5084,0.0001348227901271,4.7385325872222406e-07
1108,1108,2022-07-12 22:00:24,1536.3394,1.7005000000000017,32.3995,0.0001348226848202,-1.4215608867842554e-06
1109,1109,2022-07-12 22:01:54,1536.3387,1.7149999999999963,32.6248,0.0001348226233911,-8.292442285636754e-07
1110,1110,2022-07-12 22:03:24,1536.3382,1.6905,32.2437,0.0001348225795132,-5.923174989630482e-07
