,time,temperature,ctwl
221,2022/9/4 10:48:58,472.1,1543.802
222,2022/9/4 10:49:04,474,1543.8298
223,2022/9/4 10:49:10,475.9,1543.8457
224,2022/9/4 10:49:16,477.8,1543.872
225,2022/9/4 10:49:22,479.7,1543.9101
226,2022/9/4 10:49:28,481.7,1543.9284
227,2022/9/4 10:49:34,483.5,1543.9547
228,2022/9/4 10:49:40,485.6,1543.9849
229,2022/9/4 10:49:46,487.6,1544.0191
230,2022/9/4 10:49:52,489.6,1544.0445
231,2022/9/4 10:49:58,491.4,1544.0628
232,2022/9/4 10:50:04,493,1544.0922
233,2022/9/4 10:50:10,494.8,1544.1105
234,2022/9/4 10:50:16,496.9,1544.1455
235,2022/9/4 10:50:22,498.7,1544.1742
236,2022/9/4 10:50:28,500.6,1544.1853
237,2022/9/4 10:50:34,502.5,1544.2306
238,2022/9/4 10:50:40,504.4,1544.2521
239,2022/9/4 10:50:46,506.2,1544.2823
240,2022/9/4 10:50:52,508.1,1544.2983
241,2022/9/4 10:50:58,510.2,1544.3333
242,2022/9/4 10:51:04,512,1544.3587
243,2022/9/4 10:51:10,513.8,1544.3961
244,2022/9/4 10:51:16,515.6,1544.4176
245,2022/9/4 10:51:22,517.5,1544.4478
246,2022/9/4 10:51:28,519.5,1544.4693
247,2022/9/4 10:51:34,521.4,1544.5051
248,2022/9/4 10:51:40,523.2,1544.5274
249,2022/9/4 10:51:46,525.1,1544.5584
250,2022/9/4 10:51:52,527,1544.5775
251,2022/9/4 10:51:58,528.8,1544.6086
252,2022/9/4 10:52:04,530.7,1544.6388
253,2022/9/4 10:52:10,532.5,1544.6603
254,2022/9/4 10:52:16,534.4,1544.6858
255,2022/9/4 10:52:22,536.4,1544.7104
256,2022/9/4 10:52:28,538.3,1544.7542
257,2022/9/4 10:52:34,540.2,1544.7582
258,2022/9/4 10:52:40,542.1,1544.7948
259,2022/9/4 10:52:46,543.9,1544.8314
260,2022/9/4 10:52:52,545.6,1544.8545
261,2022/9/4 10:52:58,547.1,1544.88
262,2022/9/4 10:53:04,548.3,1544.8935
263,2022/9/4 10:53:10,549.5,1544.9309
264,2022/9/4 10:53:16,550.8,1544.9715
265,2022/9/4 10:53:22,551.9,1544.9922
266,2022/9/4 10:53:28,552.9,1545.0074
267,2022/9/4 10:53:34,553.8,1545.0344
268,2022/9/4 10:53:40,554.7,1545.0599
269,2022/9/4 10:53:46,555.5,1545.0838
270,2022/9/4 10:53:52,556.3,1545.0997
271,2022/9/4 10:53:58,557,1545.1252
272,2022/9/4 10:54:04,557.6,1545.1284
273,2022/9/4 10:54:10,558.3,1545.1563
274,2022/9/4 10:54:16,558.8,1545.1611
275,2022/9/4 10:54:22,559.3,1545.185
276,2022/9/4 10:54:28,559.8,1545.1945
277,2022/9/4 10:54:34,560.3,1545.2009
278,2022/9/4 10:54:40,560.8,1545.2296
279,2022/9/4 10:54:46,561.2,1545.2208
280,2022/9/4 10:54:52,561.6,1545.2327
281,2022/9/4 10:54:58,561.9,1545.2495
282,2022/9/4 10:55:04,562.2,1545.2519
283,2022/9/4 10:55:10,562.4,1545.255
284,2022/9/4 10:55:16,562.5,1545.2702
285,2022/9/4 10:55:22,562.6,1545.2829
286,2022/9/4 10:55:28,562.7,1545.2829
287,2022/9/4 10:55:34,562.8,1545.2861
288,2022/9/4 10:55:40,562.8,1545.2965
289,2022/9/4 10:55:46,562.8,1545.2909
290,2022/9/4 10:55:52,562.8,1545.2877
291,2022/9/4 10:55:58,562.7,1545.3068
292,2022/9/4 10:56:04,562.6,1545.2973
293,2022/9/4 10:56:10,562.6,1545.3036
294,2022/9/4 10:56:16,562.5,1545.3068
295,2022/9/4 10:56:22,562.3,1545.3092
296,2022/9/4 10:56:28,562.2,1545.302
297,2022/9/4 10:56:34,562.1,1545.3076
298,2022/9/4 10:56:40,562,1545.3044
299,2022/9/4 10:56:46,562,1545.3076
300,2022/9/4 10:56:52,561.8,1545.3004
301,2022/9/4 10:56:58,561.7,1545.3012
302,2022/9/4 10:57:04,561.6,1545.31
303,2022/9/4 10:57:10,561.6,1545.3068
304,2022/9/4 10:57:16,561.5,1545.3092
305,2022/9/4 10:57:22,561.4,1545.2981
306,2022/9/4 10:57:28,561.3,1545.3044
307,2022/9/4 10:57:34,561.2,1545.302
308,2022/9/4 10:57:40,561.2,1545.2988
309,2022/9/4 10:57:46,561.1,1545.2797
310,2022/9/4 10:57:52,561,1545.2933
311,2022/9/4 10:57:58,561,1545.2981
312,2022/9/4 10:58:04,560.9,1545.2933
313,2022/9/4 10:58:10,560.9,1545.2988
314,2022/9/4 10:58:16,560.8,1545.2981
315,2022/9/4 10:58:22,560.7,1545.2917
316,2022/9/4 10:58:28,560.6,1545.2933
317,2022/9/4 10:58:34,560.6,1545.2917
318,2022/9/4 10:58:40,560.6,1545.2909
319,2022/9/4 10:58:46,560.5,1545.2909
320,2022/9/4 10:58:52,560.5,1545.2837
321,2022/9/4 10:58:58,560.5,1545.2877
322,2022/9/4 10:59:04,560.4,1545.2885
323,2022/9/4 10:59:10,560.4,1545.2885
324,2022/9/4 10:59:16,560.4,1545.2781
325,2022/9/4 10:59:22,560.3,1545.2845
326,2022/9/4 10:59:28,560.3,1545.2757
327,2022/9/4 10:59:34,560.3,1545.2885
328,2022/9/4 10:59:40,560.2,1545.2718
329,2022/9/4 10:59:46,560.2,1545.2877
330,2022/9/4 10:59:52,560.2,1545.2853
331,2022/9/4 10:59:58,560.1,1545.2877
332,2022/9/4 11:00:04,560.1,1545.2821
333,2022/9/4 11:00:10,560.1,1545.2877
334,2022/9/4 11:00:16,560.1,1545.2933
335,2022/9/4 11:00:22,560,1545.2853
336,2022/9/4 11:00:28,560,1545.2853
337,2022/9/4 11:00:34,560,1545.2925
338,2022/9/4 11:00:40,560,1545.2901
339,2022/9/4 11:00:46,560,1545.2853
340,2022/9/4 11:00:52,560,1545.2901
341,2022/9/4 11:00:58,559.9,1545.2837
342,2022/9/4 11:01:04,559.9,1545.2877
343,2022/9/4 11:01:10,559.9,1545.2805
344,2022/9/4 11:01:16,559.9,1545.2845
345,2022/9/4 11:01:22,559.9,1545.2869
346,2022/9/4 11:01:28,559.9,1545.2757
347,2022/9/4 11:01:34,559.8,1545.2765
348,2022/9/4 11:01:40,559.8,1545.2757
349,2022/9/4 11:01:46,559.8,1545.2829
350,2022/9/4 11:01:52,559.7,1545.2845
351,2022/9/4 11:01:58,559.7,1545.2773
352,2022/9/4 11:02:04,559.6,1545.2837
353,2022/9/4 11:02:10,559.6,1545.2901
354,2022/9/4 11:02:16,559.6,1545.2861
355,2022/9/4 11:02:22,559.5,1545.2861
356,2022/9/4 11:02:28,559.5,1545.2789
357,2022/9/4 11:02:34,559.5,1545.2861
358,2022/9/4 11:02:40,559.5,1545.2861
359,2022/9/4 11:02:46,559.5,1545.2869
360,2022/9/4 11:02:52,559.5,1545.2885
361,2022/9/4 11:02:58,559.5,1545.2901
362,2022/9/4 11:03:04,559.5,1545.2845
363,2022/9/4 11:03:10,559.5,1545.2797
364,2022/9/4 11:03:16,559.5,1545.2869
365,2022/9/4 11:03:22,559.4,1545.2789
366,2022/9/4 11:03:28,559.4,1545.2941
367,2022/9/4 11:03:34,559.4,1545.2885
368,2022/9/4 11:03:40,559.4,1545.2837
369,2022/9/4 11:03:46,559.4,1545.2821
370,2022/9/4 11:03:52,559.4,1545.275
371,2022/9/4 11:03:58,559.4,1545.2893
372,2022/9/4 11:04:04,559.4,1545.2773
373,2022/9/4 11:04:10,559.4,1545.2797
374,2022/9/4 11:04:16,559.4,1545.2813
375,2022/9/4 11:04:22,559.4,1545.2821
376,2022/9/4 11:04:28,559.3,1545.2821
377,2022/9/4 11:04:34,559.2,1545.2797
378,2022/9/4 11:04:40,559.1,1545.2949
379,2022/9/4 11:04:46,559.1,1545.2893
380,2022/9/4 11:04:52,559.1,1545.2805
381,2022/9/4 11:04:58,559.1,1545.2949
382,2022/9/4 11:05:04,559.1,1545.2821
383,2022/9/4 11:05:10,559.1,1545.2853
384,2022/9/4 11:05:16,559.1,1545.2821
385,2022/9/4 11:05:22,559,1545.275
386,2022/9/4 11:05:28,559,1545.2909
387,2022/9/4 11:05:34,559,1545.2773
388,2022/9/4 11:05:40,559,1545.2853
389,2022/9/4 11:05:46,559,1545.2933
390,2022/9/4 11:05:52,559,1545.2837
391,2022/9/4 11:05:58,559,1545.2901
392,2022/9/4 11:06:04,559,1545.2821
393,2022/9/4 11:06:10,558.9,1545.2933
394,2022/9/4 11:06:16,558.9,1545.2901
395,2022/9/4 11:06:22,558.9,1545.2805
396,2022/9/4 11:06:28,558.9,1545.2821
397,2022/9/4 11:06:34,558.9,1545.2765
398,2022/9/4 11:06:40,558.9,1545.2901
399,2022/9/4 11:06:46,558.9,1545.2845
400,2022/9/4 11:06:52,558.9,1545.2829
401,2022/9/4 11:06:58,558.9,1545.2821
402,2022/9/4 11:07:04,558.9,1545.2829
403,2022/9/4 11:07:10,558.8,1545.2877
404,2022/9/4 11:07:16,558.7,1545.2885
405,2022/9/4 11:07:22,558.7,1545.2877
406,2022/9/4 11:07:28,558.7,1545.2901
407,2022/9/4 11:07:34,558.7,1545.2853
408,2022/9/4 11:07:40,558.7,1545.2949
409,2022/9/4 11:07:46,558.7,1545.2917
410,2022/9/4 11:07:52,558.7,1545.2805
411,2022/9/4 11:07:58,558.7,1545.2734
412,2022/9/4 11:08:04,558.7,1545.2877
413,2022/9/4 11:08:10,558.6,1545.2909
414,2022/9/4 11:08:16,558.6,1545.2877
415,2022/9/4 11:08:22,558.6,1545.2909
416,2022/9/4 11:08:28,558.6,1545.2893
417,2022/9/4 11:08:34,558.6,1545.2901
418,2022/9/4 11:08:40,558.6,1545.2917
419,2022/9/4 11:08:46,558.5,1545.2893
420,2022/9/4 11:08:52,558.5,1545.2877
421,2022/9/4 11:08:58,558.5,1545.2877
422,2022/9/4 11:09:04,558.5,1545.2845
423,2022/9/4 11:09:10,558.5,1545.2853
424,2022/9/4 11:09:16,558.5,1545.2861
425,2022/9/4 11:09:22,558.5,1545.2837
426,2022/9/4 11:09:28,558.4,1545.2877
427,2022/9/4 11:09:34,558.4,1545.2917
428,2022/9/4 11:09:40,558.4,1545.2893
429,2022/9/4 11:09:46,558.4,1545.2925
430,2022/9/4 11:09:52,558.4,1545.2893
431,2022/9/4 11:09:58,558.4,1545.2869
432,2022/9/4 11:10:04,558.4,1545.2941
433,2022/9/4 11:10:10,558.4,1545.2901
434,2022/9/4 11:10:16,558.4,1545.2869
435,2022/9/4 11:10:22,558.3,1545.2909
436,2022/9/4 11:10:28,558.3,1545.2821
437,2022/9/4 11:10:34,558.3,1545.2901
438,2022/9/4 11:10:40,558.3,1545.2901
439,2022/9/4 11:10:46,558.3,1545.2941
440,2022/9/4 11:10:52,558.3,1545.2885
441,2022/9/4 11:10:58,558.2,1545.2909
442,2022/9/4 11:11:04,558.2,1545.2909
443,2022/9/4 11:11:10,558.2,1545.2861
444,2022/9/4 11:11:16,558.2,1545.2909
445,2022/9/4 11:11:22,558.2,1545.2893
446,2022/9/4 11:11:28,558.2,1545.2917
447,2022/9/4 11:11:34,558.2,1545.2941
448,2022/9/4 11:11:40,558.2,1545.2941
449,2022/9/4 11:11:46,558.1,1545.2853
450,2022/9/4 11:11:52,558.1,1545.2869
451,2022/9/4 11:11:58,558.1,1545.2885
452,2022/9/4 11:12:04,558.1,1545.2973
453,2022/9/4 11:12:10,558.1,1545.2917
454,2022/9/4 11:12:16,558.1,1545.2885
455,2022/9/4 11:12:22,558.1,1545.2917
456,2022/9/4 11:12:28,558.1,1545.2893
457,2022/9/4 11:12:34,558.1,1545.2933
458,2022/9/4 11:12:40,558.1,1545.2893
459,2022/9/4 11:12:46,558.1,1545.2925
460,2022/9/4 11:12:52,558,1545.2893
461,2022/9/4 11:12:58,558,1545.2837
462,2022/9/4 11:13:04,558,1545.2845
463,2022/9/4 11:13:10,558,1545.2885
464,2022/9/4 11:13:16,558,1545.2893
465,2022/9/4 11:13:22,558,1545.2853
466,2022/9/4 11:13:28,558,1545.2957
467,2022/9/4 11:13:34,557.9,1545.2885
468,2022/9/4 11:13:40,557.9,1545.2917
469,2022/9/4 11:13:46,557.9,1545.2885
470,2022/9/4 11:13:52,557.9,1545.2909
471,2022/9/4 11:13:58,557.9,1545.2837
472,2022/9/4 11:14:04,557.9,1545.2877
473,2022/9/4 11:14:10,557.9,1545.2869
474,2022/9/4 11:14:16,557.9,1545.2949
475,2022/9/4 11:14:22,557.9,1545.2885
476,2022/9/4 11:14:28,557.9,1545.2885
477,2022/9/4 11:14:34,557.9,1545.2853
478,2022/9/4 11:14:40,557.9,1545.2909
479,2022/9/4 11:14:46,557.8,1545.2893
480,2022/9/4 11:14:52,557.8,1545.2869
481,2022/9/4 11:14:58,557.8,1545.2949
482,2022/9/4 11:15:04,557.8,1545.2885
483,2022/9/4 11:15:10,557.8,1545.2901
