,time,temperature,ctwl/nm,notch/dB,reflection/%
41,2022/10/15 13:10,572.5,1542.3022,35.772,99.97
42,2022/10/15 13:10,588.6,1542.5796,34.5764,99.97
43,2022/10/15 13:11,604.5,1542.8778,30.968,99.92
44,2022/10/15 13:11,620.2,1543.1051,18.3579,98.54
45,2022/10/15 13:12,635.7,1543.393,30.4046,99.91
46,2022/10/15 13:12,651,1543.6799,30.2182,99.9
47,2022/10/15 13:13,666.3,1544.0004,26.8145,99.79
48,2022/10/15 13:13,681.6,1544.2251,29.3428,99.88
49,2022/10/15 13:14,697.3,1544.494,26.5613,99.78
50,2022/10/15 13:14,712.9,1544.7741,27.1925,99.81
51,2022/10/15 13:15,728.7,1545.0674,24.1304,99.61
52,2022/10/15 13:15,744.5,1545.2914,25.6202,99.73
53,2022/10/15 13:16,760.5,1545.5756,25.0114,99.68
54,2022/10/15 13:16,776.6,1545.8693,22.104,99.38
55,2022/10/15 13:17,792.7,1546.1138,23.1965,99.52
56,2022/10/15 13:17,808.5,1546.39,21.7065,99.32
57,2022/10/15 13:18,822.7,1546.6723,18.6996,98.65
58,2022/10/15 13:18,833.7,1546.8587,19.0143,98.75
59,2022/10/15 13:19,842.8,1547.0567,18.7539,98.67
60,2022/10/15 13:19,850.3,1547.2138,16.543,97.78
61,2022/10/15 13:20,856.4,1547.3589,16.4283,97.72
62,2022/10/15 13:20,861.4,1547.4676,15.2086,96.99
63,2022/10/15 13:21,865.6,1547.6026,10.304,90.68
64,2022/10/15 13:21,869,1547.702,14.1767,96.18
65,2022/10/15 13:22,871.7,1547.8072,12.6888,94.62
66,2022/10/15 13:22,874,1547.9061,12.8778,94.85
67,2022/10/15 13:23,875.8,1547.9983,11.9956,93.68
68,2022/10/15 13:23,877.3,1548.0982,11.4846,92.9
69,2022/10/15 13:24,878.5,1548.1759,9.4316,88.6
70,2022/10/15 13:24,879.5,1548.2432,10.2411,90.54
71,2022/10/15 13:25,880.2,1548.3319,9.7171,89.33
72,2022/10/15 13:25,880.9,1548.3855,8.7869,86.78
73,2022/10/15 13:26,881.4,1548.4623,8.3318,85.32
74,2022/10/15 13:26,881.9,1548.5103,7.5363,82.37
75,2022/10/15 13:27,882.3,1548.5658,6.9094,79.63
76,2022/10/15 13:27,882.6,1548.6329,6.4554,77.38
77,2022/10/15 13:28,882.9,1548.6585,5.8588,74.05
78,2022/10/15 13:28,883.2,1548.7088,5.275,70.32
79,2022/10/15 13:29,883.4,1548.7271,4.7161,66.24
80,2022/10/15 13:29,883.6,1548.7475,4.1906,61.9
81,2022/10/15 13:30,883.8,1548.7259,3.5713,56.06
82,2022/10/15 13:30,883.9,1548.6322,3.1829,51.95
83,2022/10/15 13:31,884.1,1548.3469,2.8006,47.53
84,2022/10/15 13:31,884.3,1547.0555,1.4588,28.53
85,2022/10/15 13:32,884.4,1555.8736,1.9984,36.88
86,2022/10/15 13:32,884.6,1550.8151,1.5957,30.75
